Artist,Song,Units
Jason Aldean, “Try That in a Small Town”,"497,000 "
Miley Cyrus, “Flowers”,"428,000 "
Oliver Anthony Music, “Rich Men North of Richmond”,"358,000 "
Morgan Wallen, “Last Night”,"302,000 "
Jimin, “Like Crazy”,"296,000 "
Luke Combs, “Fast Car”,"251,000 "
Jung Kook featuring Latto, “Seven”,"228,000 "
Jelly Roll, “Need a Favor”,"181,000 "
Jung Kook, “Standing Next to You”,"163,000 "
Rema & Selena Gomez, “Calm Down”,"159,000 "
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,